"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"d:\WEB Projects\chessverse\server\config\whiteList.js", "JavaScript", 9, 0, 0, 2, 11
"d:\WEB Projects\chessverse\server\controllers\usersController.js", "JavaScript", 192, 0, 1, 10, 203
"d:\WEB Projects\chessverse\server\middleware\mailer.js", "JavaScript", 29, 0, 0, 6, 35
"d:\WEB Projects\chessverse\server\middleware\registerGameResult.js", "JavaScript", 24, 0, 0, 3, 27
"d:\WEB Projects\chessverse\server\middleware\verifyJWT.js", "JavaScript", 12, 0, 0, 3, 15
"d:\WEB Projects\chessverse\server\model\User.js", "JavaScript", 27, 0, 0, 3, 30
"d:\WEB Projects\chessverse\server\model\user.json", "JSON", 0, 14, 0, 1, 15
"d:\WEB Projects\chessverse\server\package-lock.json", "JSON", 0, 2233, 0, 1, 2234
"d:\WEB Projects\chessverse\server\package.json", "JSON", 0, 33, 0, 1, 34
"d:\WEB Projects\chessverse\server\routes\imagesdb.js", "JavaScript", 8, 0, 1, 3, 12
"d:\WEB Projects\chessverse\server\routes\users.js", "JavaScript", 36, 0, 1, 5, 42
"d:\WEB Projects\chessverse\server\server.js", "JavaScript", 110, 0, 4, 9, 123
"Total", "-", 447, 2280, 7, 47, 2781